,song-name,lyrics,release-year,genius-path
10,​b’lieve i’m goin down... [Tracklist + Album Art],"1. Pretty Pimpin 2. I'm An Outlaw 3. Dust Bunnies 4. That's Life, tho (almost hate to say) 5. Wheelhouse 6. Life Like This 7. All In A Daze Work 8. Lost my Head there 9. Stand Inside 10. Bad Omens 11. Kidding Around 12. Wild Imagination",2015,/Kurt-vile-blieve-im-goin-down-tracklist-album-art-annotated
11,(Bottle Back),False,2018,/Kurt-vile-bottle-back-lyrics
12,Bottle It In,"Don't tell them That you love them For your own sake Naw, you better bottle it in  Don't tell them That you love them For your own sake 'Cause you never know 'Cause you never know when Your heart's gonna break And that's a chance we just can't take  You bottled it in You bottled it in  You never got back at me when When I most needed it I would say I didn't mind But you done it over and over All the time All the time You better bottle it in  Don't tell them That you love them For your own sake 'Cause you never know when Your heart's gonna break And that's a chance you can't take Don't, don't don't don't– dammit ",2018,/Kurt-vile-bottle-it-in-lyrics
13,Box of Rain,"Look out of any window, any morning, any evening, any day Maybe the sun is shining Birds are winging No rain is falling from a heavy sky What do you want me to do, to do for you to see you through? For this is all a dream we dreamed one afternoon, long ago  Walk out of any doorway, feel your way, feel your way like the day before Maybe you'll find direction Around some corner where it's been waiting to meet you What do you want me to do, to watch for you while you're sleeping? Then please don't be surprised when you find me dreaming too  [Instrumental]  Look into any eyes you find by you, you can see clear to another day Maybe been seen before, through other eyes on other days while going home What do you want me to do, to do for you to see you through? It's all a dream we dreamed one afternoon, long ago  Walk into splintered sunlight Inch your way through dead dreams to another land Maybe you're tired and broken Your tongue is twisted with words half spoken and thoughts unclear  What do you want me to do, to do for you to see you through? A box of rain will ease the pain, and love will see you through ",2016,/Kurt-vile-box-of-rain-lyrics
14,Breathin’ Out,"Last night I was high, I heard you say It was my body or my brain that said my soul was dead You can only argue with yourself for so long Through my body or my brain I got myself insane  Hey, yeah, you got yourself all mixed up Didn't you, yeah, didn't you, yeah? Hey, yeah, you forgot that you gotta be Taking in it all and breathing out slow  Last night I was high, I heard you say It was my body or my brain that said my soul was dead You can only argue with yourself for so long Through my body or my brain I got myself insane  Hey, yeah, you got yourself all mixed up Didn't you, yeah, didn't you, yeah? Hey, yeah, you forgot that you gotta be Taking in it all and breathing out slow  Ouch! Ah-oh, ah-oh, ah-oh, ah-oh  Last night I was high, I heard you say It was my body or my brain that said my soul was dead Was it action or emotion? Said we're traveling in the ocean Oh, am I still alive? There ain't no hell or heaven ",0,/Kurt-vile-breathin-out-lyrics
15,Can’t Come,"To come through for you must first include me too And I can't come through for me No I can't come through for Oh my honey child stole my money clout(?) No I can't come through for it No I can't come through for shit's creek calls And damned if I did answer And if I did, that ain't true I can't come through for you  The words we share with our human heads We spend all day filing it Well thats one big pile of shit Life was fun until I met someone Then four, then three, then two So what's it gotta do with you? When I was young, I had everyone Then three, then two, then one Could there never be no one? Oh my honey child stole my money clout No I can't come through with it No I can't get through with it",2009,/Kurt-vile-cant-come-lyrics
16,Chazzy Don’t Mind,"[Verse 1] Strummin’ a song That teapot wants to sing along but I don’t mind No, I don’t mind  [Verse 2] Write about what you see around you Children and flowers And days for hours Songs for miles And I don’t mind No, I don’t mind I don’t mind I don’t mind [Verse 3] My girlfriend’s Chazzybelt They got a song like this too, prolly, but I don’t mind No, I don’t mind I don’t I don’t mind  [Verse 4] My mind is hummin’ When I walk I’m dreamin’, riding skateboards downhill  [Interlude (spoken)] Smooth hiss of brand new blacktop swells All just from, well I’m really just lookin’ outside from inside Leanin’ on my windowsill  [Verse 5] Strummin’ a song That teapot sings in a beautiful falsetto And I don’t mind I don’t mind Oh, I don’t mind Oh, I don’t mind",2022,/Kurt-vile-chazzy-dont-mind-lyrics
17,Check Baby,"Check baby, check baby One, two, three That’s alright with me Singing playing all the time Now hey look, lucky me Always been in touch with reality you see  Ahh check old man, check old man Check all the cables and the chain Yeah check baby, check baby One, two, three It’s alright with me Amphetamine, amphetamine You know what I mean She got a real kick to her Yeah balls to the balls to the balls to the walls to the walls Watch the man, watch the man Watch him as he walking around the world Yeah it's balls to the walls to the walls to the walls to the walls  Check baby, check baby One, two, three That's alright with me Hey, hey look look at me Always been in touch with the world, obviously Yeah, check baby, check baby Three, four, five Never no jive talking turkey, not me And check old man, check old man Check all the cables and the chain And get back at me, get back at me When its safe to sling up my six-string Then it's easy like four, five, six Anybody got a pick?  Check baby, check baby All day 'round I was very lost but now I'm way unfound Check brother, check brother Check, what a world we’ve inherited from another mother What a whale of a pickle What a spell we are all pinned under We give the devil a warm embrace and then we Run like chickens from the dickens But you wanna go to heaven when you D-I-E That's alright with me It’s easy like four, five, six Anybody got a pick? Alright Yeah, check it, old man ",2018,/Kurt-vile-check-baby-lyrics
18,Classic Rock In Spring/Freeway In Mind,"[Classic Rock In Spring]  Hey how are ya? You sure got a way of greeting a man Might I add the perfect sun tan You're riding on your yellow Schwinn While blasting classic rock in spring A couple of summer demons With battery recharging When you hear the Bob Seger song You know I'll be long gone Cutting all my classes Like a hit of acid Hey how are ya? Like a dog on a telephone There is nonsense sustaining And staying on ya getting off You find yourself much better off Feeling a bit less softer even But coughing up a lung and then some Yeah, you know i got your battery recharger right here And hey how are ya?  [Freeway In Mind]  I got a freeway in mind, let go of my head Walk down my line, better be sure you'll be dead I got a trumpet, I know where to dump it I'm glad that you came if the sound is the same  Sometimes my reckless ways, shock my self system for days Now I'm channelling my faze in an anacin haze But it ain't gonna do me in, I know when to dump it A hole in my way again, I'll surely just jump it  There was a kid in a tree among the birds and the bees Between bee hive and bird nest and I think you know the rest He wanted to be free with them but they weren't believing Pecking and stinging him till he wasn't breathing But it ain't gonna do him in, he'll just go to heaven Not done just a dreamer of ten or eleven ",0,/Kurt-vile-classic-rock-in-spring-freeway-in-mind-lyrics
19,Cold Was the Wind,"Cold was the wind on my frozen face But I didn't mind, cause I was long gone  Cold was the wind upon my brow Below that, well, you don't wanna know at all Cold, was the wind (Yeah)  Christmas in Siberia with the little bitty case of the delirium tremens For some reason, picture Roger Clemens But Mike Schmidt's more of the city I came with Crossed my heart, hoped to die Stick a needle in my, butter around your bread  Cold was the wind on my naked brow Below it, well, you don't wanna know at all Cold, wind, blows  Cold wind blows on my naked brow Sun sits down on the sacred cow You better Goddamn miss me when I'm gone 'Cause God's gonna damn me up and down now Wherever it is, they're gonna give me the business Whoever it is, gonna miss my girls On the plane I'm drinkin red wine, 'cause like everybody else I'm afraid to die Did I mention that I'm afraid of dying, think I heard my daughter crying So I pick her on up, spin her around, live it on up, of what I found ",2018,/Kurt-vile-cold-was-the-wind-lyrics
20,Come Again,"[Verse 1] Autumn come and winter gone Then spring came all over the lawn I wanna die then be reborn Like seasons come and go and come again  [Chorus 1] Come again, come again What was that you said? Come again, come again C-c-come on down The world had better come around [Verse 2] I feel it in my chest I feel it in my soul The music and the whiskey And it's warm and nurturing in a weird way I feel it in my face right now when I sing And it makes me wanna cry and scream and cry and  [Chorus 2] Come again, come again What was that you said? Come again, come again C-c-come on down Could use a little help comin' around  [Verse 3] Autumn come and winter go Then spring sprayed all over, all we know Then summer come in raging, brought my blood right to a boil But even the heat too turned around and went But it was a long one  [Chorus 1] Come again, come again What was that you said? Come again, come again C-c-come on down The world had better come around Come again, come again Come again, yeah Come again",2018,/Kurt-vile-come-again-lyrics
21,Cool Water,"[Verse 1] Hey, where you goin’ now? Are you goin’ home? Where is that at, baby? I, I been thinkin’ I been drinkin’ I been dyin’ and craving some  [Chorus] Cool water Cool water Just like Hank sang Hank sang  [Verse 2] Wait, wait your turn And do ya got something to burn? ‘Cause now, now is the time To smoke ’em if you got ’em But when, when you’re done Bite your tongue and put out the cherry with some  [Chorus] Cool water Cool water Just like Hank sang Hank sang ",2022,/Kurt-vile-cool-water-lyrics
22,Damn You,False,0,/Kurt-vile-damn-you-lyrics
23,Dandelions,Dandelions For my girls  I ain't lyin’ Just bein' a little exotic You can blow on 'em Or you can just hold ’em I ain't mindin' Even when you're cryin' Any which way you wanna go with 'em  I like the feeling Of being sentimental And also a little mental I don't mind crying But I prefer them be tears of joy over rage Anything over rage Anything over mind And everything over age I'm over that When I look back at my  Dandelions For my three girls Dandelions For my three girls ,2020,/Kurt-vile-dandelions-lyrics
24,Dead Alive,"You're telling me a good man is hard to find Well, what are you blind? Well, never mind, let's try and have a good time There was a war of independence If a man's a hindrance Well, you know where you've got a right to go  Better take a breather till you're better Till you're breathing, till you stop sweating Better take a breather till you stop sweating And knit me a sweater  You're telling me a good man is hard to find What was that? You better rewind 'Cause it's me, mama, I'm showing everybody a good time You're always looking for a few good men Well, here's one Baby, won't get wasted on a gun  Better take a breather till you're better Till you're breathing, till you stop sweating Better take a breather till you stop sweating And knit me a sweater  Call me old dog when I'm gone But when I'm back, it's always ""Old man, where you been so long? Where you been so long Where you been so long?"" ",2009,/Kurt-vile-dead-alive-lyrics
25,Doctor Orgatron,False,2009,/Kurt-vile-doctor-orgatron-lyrics
26,Don’t Get Cute,"Don't get cute, you know I can't compute Competing with a man in an alligator suit Gonna slap that man looking so damn daft But can I use you? I wanna be a success, give me my style Back home on the range is a baby who has my eyes  Don't get cut, you crazy little slut Turning all the tricks in a twelve-block radius You may look cute, but you puke all over it Can I use you? I wanna be a success, give me my style Back one mile back is my baby with the brown brown eyes  Don't get cute Don't get cute Don't get cute  Don't get caught, you're a man, not a fish And diving face-first into a frozen lake baits with another Don't you wanna be a success? Then show me some style 'Cause with you the guitar is the one thing that you really make sing Do you wanna be a success? Mmmm yeah, I wanna be a success Can I use you? I wanna be a success, give me my style",0,/Kurt-vile-dont-get-cute-lyrics
27,Dust Bunnies,"You may think that it's funny now That I got a headache like a shop vac coughin' dust bunnies It's hard to see when it's all red And all you hear are just white noises This little one, she's a delicate creature No safety features to hold her down Girl, you've been runnin' on all cylinders Pull in the yard and cut it hard  But no they won't find us lying down on the ground And it ain't at the bar where I am or you are We'll take a puff on a cigarette, see what we get An invigorating fix and a black lung  Don't know much about history and Don't know much about the shape I'm in There ain't no manual to our minds We're always lookin', baby, all the time  But no we won't find it rollin' around on the ground And it ain't at the bar where I am, where you are I took a puff on the cigarette, saw what I get An invigorating fix and a black lung  You think you're tired? Put your face in my place We swap faces and I see you're tired It's hard to think with a squashed brain and Let's hope that don't leave a permanent stain How can you talk over all that racket? What's there to feel but totally whacked? ",2015,/Kurt-vile-dust-bunnies-lyrics
28,Early Dawnin,"You can't tell me how to live my life But you can watch me do it if you want I think you think you might run the tight ship And congrats on that but In the morning, I am recording That's the way it should be when That's the way it is I'm a man and I'm a mess See I go up and down around Cause there's a whirlwind in my head just like a hurricane Cause there's a honey and there's a comb There's a sugar and a cane It's my home and it's my house Anyhow, and it's time to go there Early dawnin', early dawnin' Early dawnin', early dawnin'  All my days, closer to dying But I am, is what it is There's been times, guilty of crimes But I won't apologize, I ain't got time All my nights, further from livin' But I don't mind, take my time We got heart, we got soul I don't know what I've been told Streets of heaven are overflowin' I don't know what I've been told Streets of heaven, the gorgeous thrones  Early dawnin' early dawnin' Early dawnin' early dawnin'",0,/Kurt-vile-early-dawnin-lyrics
29,Feel My Pain,"[Verse 1] Feel my pain, and I’ll do yours We’re all banged up But who’s keepin' score? Well I’m not, are you? There’s a place out there That we can go and Clean up our act in, then Come out squeaky clean So no one will know Where we been  [Chorus] How can I sing to ‘em straight From my heart, babe? It’s all I ever really wanted to do anyway From the start, babe Hear what I’m sayin' and... Feel my pain (If that’s alright for you)  [Verse 2] There’s a fountain out there Flowin' deep and wide Somewhere deep in this town To jump in if you can swim And I never did much talkin' anyway Ok, that’s a lie But that don’t matter to you Feel my pain and Come inside or Stay the course with a Bulldozing force Riding on a demon-possessed horse There’s a place out there People go and never come back If you’d care to say your prayers ",2013,/Kurt-vile-feel-my-pain-lyrics
30,Flyin (like a fast train),"[Verse 1] Flyin' like a fast train, I don't feel a thing 'Til when pull into my station, just crash and burn, yeah Playin' in the music room in my underwear Feelin' fine and then my psyche crumble, pell mell, stumble I been bamboozled Better watch out we got vampires lurkin'  [Chorus] Flyin' like a fast train, I don't feel a thing 'Til when I pull into my station, I just crash and burn, oh Oh yeah Oh, oh [Verse 2] Flyin', acid flashback, flyin' saucers, black coffee Pink lemonade from the faucet, seein' dragons But they're so pretty, baby, come on let's go tear up the city Naw, think we better slow it down Ooh, ooh, ooh, ooh La, la, la  [Chorus] Flyin' like a fast train, I don't feel a thing 'Til when I pull into my station, I just crash and burn, oh  [Verse 3] Cooped up creature of discomfort, can't touch a thing So I take a walk 'round thе block then I come back and sing Say, what's wearing you down, kid? Wеll, try a little, lot of everything  [Chorus] Flyin' like a fast train, I don't feel a thing 'Til when I pull into my station, I just crash and burn  [Interlude] Yeah Yeah Mmm, mmm Mmm, mmm Mmm, mmm Mmm, mmm Mmm, mmm Mmm, mmm Mmm, mmm Mmm, mmm ",2022,/Kurt-vile-flyin-like-a-fast-train-lyrics
31,Fo Sho,"[Verse 1] Even if I’m wrong Even if I’m wrong Gonna sing-a-my song ‘Til the break of dawn like “Woo!”  [Verse 2] But even ’cause I’m real Even ’cause I’m real Even ’cause I’m real Gonna peal another smash poem Out a yellow legal pad for ya, baby While I can  [Verse 3] Even if it’s sike ‘Cause I know that I’m right And I been doin’ this a long time Since before I was born  [Chorus] And it’s prolly gonna be another Prolly gonna be another long song Prolly gonna be another long song  [Instrumental Break] ",2022,/Kurt-vile-fo-sho-lyrics
32,Freak Train,"Go ahead, tell me ""hello"" or ""fuck you"" Whatever introduction suits you I ain't trying to fight I'm just trying to ride this train and make it home tonight  Hey, I don't care if you care Or if you're trying to break my nose Or just stand around Stare me down and cough Where the hell do you get off, anyway? Freak train  Well, there's people out there who tell you lies They get off on giving wrong directions Well, fabrication's my best friend But I ain't never been so insulted in my whole life  Riding on the freak train Train, train, train Riding on the freak train Train, train, train Riding on the freak train Train, train, train Riding on the freak train, yeah Well, there's a whole new story there Well, there's a whole new story there Well, there's a whole new story there  Let it hang out like you just don't care And drag it everywhere Whoo!  One day, I'm going to get enough dough To get me where I want to go comfortably They say Acela rides a little faster But for now, it's freaks and how and ""Whoa, get off me!"" Cause a man with hands for every finger Claiming he's a folk singer And he's raring to bite his nails Think I'd rather ride the rails ",2009,/Kurt-vile-freak-train-lyrics
33,Freeway,"I got a freeway in mind, let go of my head Walk down my line, better be sure you'll be dead I got a trumpet, I know where to dump it I'm glad that you came if the sound is the same  Sometimes my reckless ways shock my self system for days Now I'm channelling my faze in an anacin haze But it ain't gonna do me in, I know when to dump it A hole in my way again, I'll surely just jump it  There was a kid in a tree among the birds and the bees Between beehive and bird nest and I think you know the rest He wanted to be free with them, but they weren't believing Pecking and stinging him till he wasn't breathing But it ain't gonna do him in, he'll just go to heaven Not done just a dreamer of ten or eleven I've got a freeway in mind, let go of my head Walk down my line, better be sure you'll be dead I got a trumpet, I know where to dump it",0,/Kurt-vile-freeway-lyrics
34,Frip Job,False,2009,/Kurt-vile-frip-job-lyrics
35,Ghost Town,"In the morning, I'm not done sleepin' In the evening, I guess I'm alive But that's alright, I can still peel myself up Sleepwalking in a ghost town Think I'll never leave my couch again 'Cause when I'm out, I'm on it in my mind Then again, I guess it ain't always that way  In the morning, I'm not done sleepin' In the evening, I guess I'm alive That's alright, I can still peel myself up Sleepwalking in a ghost town Think I'll never leave my couch again 'Cause when I'm out, I'm on it in my mind Christ was born I was there You know me I'm around I got friends Hey, wait, where was I? Well, I am tryin'  When I'm drivin', I find I'm dreamin' Jamming tunes and drifting And it's just then sometimes I wanna pull over Open up and stay And uh, raindrops might fall on my head sometimes But I won't pay 'em any mind  Christ was here You just missed him Now I'm out Going down Second To all the stores To see my friends To find Kinks vinyls Yeah  And when I'm drinking, I get to jokin' Then I'm laughin', fallin' down, but that's just fine And I just pick myself up and walk down ghost town Raindrops might fall on my head sometimes But I don't pay 'em any mind Then again, I guess it ain't always that way",2011,/Kurt-vile-ghost-town-lyrics
36,Girl Called Alex,"[Verse 1] In the dawn's early light I recall a girl named Alex She and Mark, they were happily wed Hey, at least in my head  [Hook] I think about them all the time I think about them all the time I think about them all the time I think about them all the time  [Verse 2] I wanna live all the time In my fantasy infinity There I will never be abandoned There I'll ever handle against everything from ever happening to them  [Bridge] And they hate it when I say I wanna  [Verse 3] I wanna walk out into the night Without it being running away From a bad day in my brain For the sake of a strip that I could be cruising In the comfort of a sportscar illusion ",2013,/Kurt-vile-girl-called-alex-lyrics
37,God Is Saying This To You,False,2009,/Kurt-vile-god-is-saying-this-to-you-lyrics
38,Goin On A Plane Today,"[Verse 1] Going on a plane today Gonna chug a beer and curse my name See you on the other side Either on the tarmac or the after life  [Verse 2] Things getting a little weird My mind gone foggy, my memory's unclear Manhood compromised Watch me shrinking back into a little kid Just as I'm just getting old [Verse 3] Going on a plane today Listening' to ""Heart of Gold"" Gonna open up for Neil Young Man, life can sure be fun Imagine if I knew this when I was young Too  [Outro] As well",2022,/Kurt-vile-goin-on-a-plane-today-lyrics
39,Goldtone,"Sometimes when I get in my zone, you'd think I was stoned But I never as they say, touched the stuff I might be adrift, but I'm still alert Concentrate my hurt into a gold tone Golden tones  In the night when all hibernate, I stay awake Searching the deep, dark, depths of my soul tone Golden tones Gold tones There's a place in my heart for all of my friends Some have stepped out but some check back in Been livin' my life on the run, from day one Every day is ""hey, so are they""  But if I been lookin' back today Looking back in gold tones  Yeah, yeah  In the night when all hibernate, I stay awake Searching the deep, dark, depths of my soul tone Golden tones  Yeah, yeah  I been all around, been up and down This round world that is always turning Til some day or so they say When a-hey, hey, I wanna hear a gold tone  Sometimes as I'm floating away I wish I could stay Then I arrive among the dropping flies There's a place in my heart, been trying to locate It's somewhere within and it's for all them with its gold tones ",2013,/Kurt-vile-goldtone-lyrics
40,Gone Girl,[Verse 1] She is deliciously tall Sort of a long girl She is delightfully small Sort of a song girl  She freely admits to the world That she was a wrong girl That's nothing compared to the fact That she is a gone girl  [Chorus] Gone like a knock on the door Gone with yesterday and before Gone with the wind forevermore  [Verse 2] She never lay claim to the fact That she was a strong girl So why should I loudly proclaim That she was a wrong girl?  I'd rather think of her name As some sort of song girl And think poetical things To think of my gone girl ,2020,/Kurt-vile-gone-girl-lyrics
41,Heart Attack,"You're gonna give me a heart attack You're gonna get all the [?]  You better get your head really screwed on You better get your head really screwed on  You're gonna give me a heart attack You're gonna get all the [?]  You better get your head really screwed on You better get your head really screwed on  You're gonna turn the white man black You're gonna turn all the brown man back You take the spotless soul of a man You take the cracks, for anyone who would understand  You're gonna give me a heart attack You're gonna get all the [?]  You better get your head really screwed on You better get your head really screwed on  You've always been the [?] You're [?] when the code is resolved You're gonna give me a heart attack We're gonna lose time [?] ",2009,/Kurt-vile-heart-attack-lyrics
42,He’s Alright (Bonus Track),"Way over there where the wind come from I swear i thought i was the only one Each time i stop to get air well i'm still over there  The silhouette kid's swinging on a swing Scrapes his knee and blood it brings He shows his friends he's alive as he brags and he jives Hey. He's alright. Yeah  They say makin up for lost time Ain't makin up for much at all Sometimes i think gettin old is oh so last year, yeah  But other times i grab the bull by the horns Rip em off with calloused hands Sometimes you cry like a child still get up in the mornin I was a geezer just last night Watchin TV and not understandin anything I scrape my face on the clouds every time i get out But that's day time  Some people they use up all their cash Records and such just sit around but i don't care about that People say i'm to blame i guess i think it's a shame Oh, but I don't care. Yeah",2009,/Kurt-vile-hes-alright-bonus-track-lyrics
43,Hey Like A Child,"Yo, lemonade, my girl, what it is? Gleamin' in the sun, you're the one, you're the one, you're the one Hey like a child, you walked into my life Hey like a mild high, I'm feelin' fine  Feelin' on the climb till I slide back down From out of the sun, you spun me around and around Hey like a child, you waltzed into my life Hey like a mild high, I'm feelin' fine  In a dream, I drew my blueprint Thought I'd better get a load of the way that I do this In the mornin' time, the glorious spring Feel I got a handle on everything Wait for the words to form on the line  Hey like a mild high, I'm feelin fine Hey like a child, you shine into my life Hey when I'm flyin', I'm high as hell on love  In a dream, I drew my blueprint Thought I'd better get a load of the way that I do this  Feelin' on the climb till I slide back down From out of the maze, you spun me the world back around Yo, lemonade, my girl, what it is? Reach for your hand through the sun, through the sun, through the sun  Hey like a ray, you shine into my life Hey like a cure for all things under the sun In a dream, I drew my blueprint And it was you on every page that I drew there  Hey like a ray, you shine into my life Hey like a cure for all things under the sun In a dream, I drew my blueprint And it was you on every page that I drew there",2022,/Kurt-vile-hey-like-a-child-lyrics
44,"Hey, Now I’m Movin’","Hey now I'm movin' Oh, but I got so many friends dyin' That I keep movin' Movin' on back to squares Aww yeah yeah Yeah yeah yeah yeah yeah yeah Yeah Aww yeah yeah Yeah yeah yeah yeah I'm movin' I get the notion Oh, that it's time to be goin' I see an ocean Thanks cuz I'm leavin Aww yeah yeah Yeah yeah yeah yeah yeah yeah Yeah Aww yeah yeah Yeah Hey now I'm movin' Hey now I'm movin'",0,/Kurt-vile-hey-now-im-movin-lyrics
45,How Lucky,"[Intro] One, two A one, two, three  [Verse 1: Kurt Vile] Today I walked down the street I used to wander Yeah, shook my hand and made myself a bet There was all these things that I don't think I remember Hey, how lucky can one man get?  [Verse 2: John Prine] I bronzed my shoes and I hung 'em from a rearview mirror Bronzed admiration in the blind spot of regret There was all these things that I don't think I remember Hey, how lucky can one man get?  [Verse 3: Kurt Vile] Today I walked down the street I used to wandеr Yeah, scratched my head and lit my cigarеtte Well, there was all these things that I don't think I remember Hey, how lucky can one man get?  [Outro: Kurt Vile & John Prine] Today I walked down the street I used to wander Yeah, shook my hand and made myself a bet Well, there was all these things that I don't think I remember Hey, how lucky can one man get? Hey, how lucky can one man get? Hey, how lucky can one man get?",2020,/Kurt-vile-how-lucky-lyrics
46,Hunchback,"I got a hunchback, big as a humpback whale Ain't a damn man on earth now could cure it In the morning, I'm begging please And I've got a will, yeah, know what, baby? I'm a hunchback  You shot me up and left me Flopping and flipping around like a fish on a ship You know the kind I'm talking about Flopping and flipping around like a fish along the sand You left me Flopping for dead uptown like when a fish drowns outta water You left a man neck deep in dirty water And turned your back when he was down, down Oh, I've got a hangover, make you just want to keel over You don't gotta stick a four-leaf clover in your pants, you got no chance But in the morning, I'm pleading, please I've got a will, yeah we know by now, big as my hunchback  To get up on top these days, you gotta be a low life drifter So slither up just like a snake upon a spiral staircase",2009,/Kurt-vile-hunchback-lyrics
47,Hunchy’s Back,False,0,/Kurt-vile-hunchys-back-lyrics
